ID;Wasserstelle;Breitengrad;Laengengrad
1;Hydrant;52.7566233;8.2683072
2;Hydrant;52.7409552;8.2856829
3;Hydrant;52.7418327;8.2867805
4;Hydrant;52.7387517;8.2953263
5;Hydrant;52.7369464;8.2839687
6;Hydrant;52.7343612;8.2938426
7;Hydrant;52.7289054;8.2973989
8;Hydrant;52.7288300;8.2917292
9;Hydrant;52.7294675;8.2875563
10;Hydrant;52.7281926;8.2855164
11;Hydrant;52.7334140;8.2647005
12;Hydrant;52.7267907;8.2723106
13;Hydrant;52.7278109;8.2726241
14;Hydrant;52.7273236;8.2689583
15;Hydrant;52.7260992;8.2736763
16;Hydrant;52.7244753;8.2749127
17;Hydrant;52.7236514;8.2761152
18;Hydrant;52.7177332;8.2837803
19;Hydrant;52.7190279;8.2837283
20;Hydrant;52.7166396;8.2793552
21;Hydrant;52.7220206;8.2830049
22;Hydrant;52.7185570;8.2793559
23;Hydrant;52.7207956;8.2800654
24;Hydrant;52.7236514;8.2761152
25;Hydrant;52.7244753;8.2749127
