ID;Wasserstelle;Breitengrad;Laengengrad
1;Hydrant;527.566.233;82.683.072
2;Hydrant;527.409.552;82.856.829
3;Hydrant;527.418.327;82.867.805
4;Hydrant;527.387.517;82.953.263
5;Hydrant;527.369.464;82.839.687
6;Hydrant;527.343.612;82.938.426
7;Hydrant;527.289.054;82.973.989
8;Hydrant;527.288.300;82.917.292
9;Hydrant;527.294.675;82.875.563
10;Hydrant;527.281.926;82.855.164
11;Hydrant;527.334.140;82.647.005
12;Hydrant;527.267.907;82.723.106
13;Hydrant;527.278.109;82.726.241
14;Hydrant;527.273.236;82.689.583
15;Hydrant;527.260.992;82.736.763
16;Hydrant;527.244.753;82.749.127
17;Hydrant;527.236.514;82.761.152
18;Hydrant;527.177.332;82.837.803
19;Hydrant;527.190.279;82.837.283
20;Hydrant;527.166.396;82.793.552
21;Hydrant;527.220.206;82.830.049
22;Hydrant;527.185.570;82.793.559
23;Hydrant;527.207.956;82.800.654
24;Hydrant;527.236.514;82.761.152
25;Hydrant;527.244.753;82.749.127
